model_name,tag,split,device,commit,attack,eps,eps255,defense,params,acc_clean,clean_def_acc,clean_penalty,acc_adv,acc_def,drop,recovery,time_ms_per_img,iters,step255,restarts,subset_n,query_budget,queries_per_img,median_l2,mean_l2,notes,run_id
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7123,-0.07039999999999991,0.7582,0.6942,0.024499999999999966,-2.6122448979591852,0.23996032499999273,,,,,,,,,loaded,1766641188-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,none,{},0.7827,0.7827,0.0,0.733,0.733,0.049699999999999966,0.0,0.24402287919947413,,,,,,,,,loaded; baseline-no-defense,1766641188-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7123,-0.07039999999999991,0.733,0.675,0.049699999999999966,-1.1670020120724343,0.254412966700329,,,,,,,,,loaded,1766641188-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,none,{},0.7827,0.7827,0.0,0.7074,0.7074,0.07529999999999992,0.0,0.25427321659954033,,,,,,,,,loaded; baseline-no-defense,1766641188-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7123,-0.07039999999999991,0.7074,0.6569,0.07529999999999992,-0.6706507304116871,0.25565989580063614,,,,,,,,,loaded,1766641188-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,none,{},0.7827,0.7827,0.0,0.7582,0.7582,0.024499999999999966,0.0,0.24851284579926866,,,,,,,,,loaded; baseline-no-defense,1766641229-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.6892,-0.09349999999999992,0.7582,0.6727,0.024499999999999966,-3.4897959183673524,0.24466557499981717,,,,,,,,,loaded,1766641229-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,none,{},0.7827,0.7827,0.0,0.733,0.733,0.049699999999999966,0.0,0.24058440829976463,,,,,,,,,loaded; baseline-no-defense,1766641229-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.6892,-0.09349999999999992,0.733,0.6561,0.049699999999999966,-1.5472837022132802,0.2565826167003252,,,,,,,,,loaded,1766641229-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,none,{},0.7827,0.7827,0.0,0.7074,0.7074,0.07529999999999992,0.0,0.25391689999960365,,,,,,,,,loaded; baseline-no-defense,1766641229-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.6892,-0.09349999999999992,0.7074,0.6385,0.07529999999999992,-0.9150066401062436,0.24534098330041162,,,,,,,,,loaded,1766641229-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,none,{},0.7827,0.7827,0.0,0.7582,0.7582,0.024499999999999966,0.0,0.2510388416994829,,,,,,,,,loaded; baseline-no-defense,1766641269-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.7827,0.3267,-0.45599999999999996,0.7582,0.3198,0.024499999999999966,-17.893877551020434,0.25834917920001316,,,,,,,,,loaded,1766641269-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,none,{},0.7827,0.7827,0.0,0.733,0.733,0.049699999999999966,0.0,0.23592424999951617,,,,,,,,,loaded; baseline-no-defense,1766641269-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.7827,0.3267,-0.45599999999999996,0.733,0.3128,0.049699999999999966,-8.454728370221332,0.26195885839988475,,,,,,,,,loaded,1766641269-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,none,{},0.7827,0.7827,0.0,0.7074,0.7074,0.07529999999999992,0.0,0.29153767499956307,,,,,,,,,loaded; baseline-no-defense,1766641269-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.7827,0.3267,-0.45599999999999996,0.7074,0.3056,0.07529999999999992,-5.335989375830019,0.3010054250000394,,,,,,,,,loaded,1766641269-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,none,{},0.7827,0.7827,0.0,0.6597,0.6597,0.123,0.0,0.24169291250000244,,,,,,,,,loaded; baseline-no-defense,1766641738-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,none,{},0.7827,0.7827,0.0,0.5278,0.5278,0.2548999999999999,0.0,0.24075000419979914,,,,,,,,,loaded; baseline-no-defense,1766641738-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,none,{},0.7827,0.7827,0.0,0.42,0.42,0.36269999999999997,0.0,0.245771099999547,,,,,,,,,loaded; baseline-no-defense,1766641738-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,none,{},0.7827,0.7827,0.0,0.6597,0.6597,0.123,0.0,0.2371055042007356,,,,,,,,,loaded; baseline-no-defense,1766641763-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7153,-0.0673999999999999,0.6597,0.6161,0.123,-0.35447154471544695,4.427391908298887,,,,,,,,,loaded,1766641763-34ede61
