model_name,tag,split,device,commit,attack,eps,eps255,defense,params,acc_clean,clean_def_acc,clean_penalty,acc_adv,acc_def,drop,recovery,time_ms_per_img,iters,step255,restarts,subset_n,query_budget,queries_per_img,median_l2,mean_l2,notes,run_id
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,none,{},0.9346,0.9346,0.0,0.2371,0.2371,0.6975,0.0,0.22795871249982158,,,,,,,,,loaded; baseline-no-defense,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.2371,0.4912,0.6975,0.36430107526881716,0.23439606659958373,,,,,,,,,loaded,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,none,{},0.9346,0.9346,0.0,0.1773,0.1773,0.7573,0.0,0.2297243791996152,,,,,,,,,loaded; baseline-no-defense,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.1773,0.4209,0.7573,0.32166908754786744,0.23256291249999778,,,,,,,,,loaded,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,none,{},0.9346,0.9346,0.0,0.151,0.151,0.7836,0.0,0.28085861659928923,,,,,,,,,loaded; baseline-no-defense,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.151,0.3741,0.7836,0.28471158754466563,0.28788867499970366,,,,,,,,,loaded,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,none,{},0.9346,0.9346,0.0,0.0023,0.0023,0.9323,0.0,0.25045644580095544,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638200-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.031373,8,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.24977262079919454,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638200-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.047059,12,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.2500937042001169,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638200-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,none,{},0.9346,0.9346,0.0,0.0023,0.0023,0.9323,0.0,0.3155581625003833,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638226-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.0023,0.4536,0.9323,0.48407165075619435,0.3038907874986762,20,2.0,1,,,,,,loaded,1766638226-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.031373,8,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.3024698042005184,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638226-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.031373,8,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.0,0.3245,0.9346,0.34720736143804837,0.3019534042003215,20,2.0,1,,,,,,loaded,1766638226-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.047059,12,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.3009715832988149,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638226-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.047059,12,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.0,0.2871,0.9346,0.30719024181468013,0.3005958166992059,20,2.0,1,,,,,,loaded,1766638226-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,none,{},0.9346,0.9346,0.0,0.0023,0.0023,0.9323,0.0,0.28961588329984805,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638271-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.0023,0.5947,0.9323,0.6354177839751153,4.363875741700758,20,2.0,1,,,,,,loaded,1766638271-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.031373,8,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.23680834169936132,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638271-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.031373,8,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.0,0.4172,0.9346,0.4463941793280548,4.350572045901208,20,2.0,1,,,,,,loaded,1766638271-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.047059,12,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.22820367090025684,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638271-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.047059,12,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.0,0.2917,0.9346,0.3121121335330623,4.341534883399436,20,2.0,1,,,,,,loaded,1766638271-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,none,{},0.9346,0.9346,0.0,0.0023,0.0023,0.9323,0.0,0.22794969160022446,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638558-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.0023,0.5104,0.9323,0.5449962458436125,0.2332198290998349,20,2.0,1,,,,,,loaded,1766638558-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.031373,8,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.2279252958993311,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638558-34ede61
